REF_DATE,GDP,,Prices,Chained (2012) dollars
Jan-97,1146254,,UOM,Dollars
Feb-97,1153493,,Seasonally adjusted at annual rates,
Mar-97,1153375,,SCALAR_FACTOR,millions
Apr-97,1161196,,VECTOR,v65201210
May-97,1165328,,,
Jun-97,1167533,,,
Jul-97,1180084,,,
Aug-97,1181545,,,
Sep-97,1183552,,,
Oct-97,1188123,,,
Nov-97,1189010,,,
Dec-97,1199780,,,
Jan-98,1194652,,,
Feb-98,1206119,,,
Mar-98,1210426,,,
Apr-98,1211089,,,
May-98,1208910,,,
Jun-98,1208629,,,
Jul-98,1208265,,,
Aug-98,1219916,,,
Sep-98,1223880,,,
Oct-98,1229462,,,
Nov-98,1232739,,,
Dec-98,1244188,,,
Jan-99,1248407,,,
Feb-99,1254446,,,
Mar-99,1254755,,,
Apr-99,1263262,,,
May-99,1265346,,,
Jun-99,1274003,,,
Jul-99,1280993,,,
Aug-99,1287461,,,
Sep-99,1295922,,,
Oct-99,1299607,,,
Nov-99,1310326,,,
Dec-99,1318934,,,
Jan-00,1325658,,,
Feb-00,1325888,,,
Mar-00,1336931,,,
Apr-00,1335504,,,
May-00,1343064,,,
Jun-00,1348065,,,
Jul-00,1351075,,,
Aug-00,1356048,,,
Sep-00,1358502,,,
Oct-00,1361067,,,
Nov-00,1362013,,,
Dec-00,1365443,,,
01-Jan,1365514,,,
01-Feb,1365069,,,
01-Mar,1365858,,,
01-Apr,1364619,,,
01-May,1370407,,,
01-Jun,1369240,,,
01-Jul,1367204,,,
01-Aug,1371749,,,
01-Sep,1364366,,,
01-Oct,1370585,,,
01-Nov,1379396,,,
01-Dec,1377902,,,
02-Jan,1392802,,,
02-Feb,1400429,,,
02-Mar,1399019,,,
02-Apr,1408942,,,
02-May,1411041,,,
02-Jun,1412654,,,
02-Jul,1418178,,,
02-Aug,1423503,,,
02-Sep,1420254,,,
02-Oct,1428810,,,
02-Nov,1428139,,,
02-Dec,1423817,,,
03-Jan,1431160,,,
03-Feb,1434888,,,
03-Mar,1433364,,,
03-Apr,1428575,,,
03-May,1432670,,,
03-Jun,1436792,,,
03-Jul,1444125,,,
03-Aug,1430151,,,
03-Sep,1447621,,,
03-Oct,1453840,,,
03-Nov,1455337,,,
03-Dec,1461488,,,
04-Jan,1464152,,,
04-Feb,1463305,,,
04-Mar,1476416,,,
04-Apr,1480256,,,
04-May,1481764,,,
04-Jun,1489057,,,
04-Jul,1490489,,,
04-Aug,1496855,,,
04-Sep,1501096,,,
04-Oct,1501618,,,
04-Nov,1507285,,,
04-Dec,1507620,,,
05-Jan,1514960,,,
05-Feb,1516009,,,
05-Mar,1510876,,,
05-Apr,1522079,,,
05-May,1528603,,,
05-Jun,1533199,,,
05-Jul,1537159,,,
05-Aug,1542983,,,
05-Sep,1544269,,,
05-Oct,1549474,,,
05-Nov,1557964,,,
05-Dec,1566198,,,
06-Jan,1570036,,,
06-Feb,1573552,,,
06-Mar,1577153,,,
06-Apr,1577442,,,
06-May,1578059,,,
06-Jun,1575416,,,
06-Jul,1578273,,,
06-Aug,1579408,,,
06-Sep,1577137,,,
06-Oct,1579661,,,
06-Nov,1583186,,,
06-Dec,1593220,,,
07-Jan,1589916,,,
07-Feb,1597824,,,
07-Mar,1601283,,,
07-Apr,1603425,,,
07-May,1610464,,,
07-Jun,1615014,,,
07-Jul,1614681,,,
07-Aug,1619358,,,
