REF_DATE,Gross domestic product at market prices (Millions- Chained $ 2012)-ConferenceBoard,GDP Growth rate(1 Quarter)-CACL,GDP Growth rate(2 Quarter)-CACL,"Average of Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)-v108785713",INDINF_OUTGAPI_Q-BOC,"CalcInflation-Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted-v112593707"
1990-01-01,1101873,0.009427601,0.007272947,3.366666667,3.9,4.455564372
1990-04-01,1097310,-0.004141131,0.00524743,3.533333333,3,3.911317533
1990-07-01,1089546,-0.007075485,-0.011187315,3.5,1.7,3.781590536
1990-10-01,1079836,-0.008911969,-0.015924397,3.733333333,0.3,4.652061434
1991-01-01,1064426,-0.014270686,-0.023055474,3.966666667,-1.6,4.689433586
1991-04-01,1069389,0.004662607,-0.009674617,3.7,-1.6,3.889780711
1991-07-01,1070821,0.001339082,0.006007933,3.333333333,-1.9,3.396247201
1991-10-01,1072797,0.001845313,0.003186867,2.766666667,-2.2,1.672852274
1992-01-01,1073579,0.000728936,0.002575594,2.266666667,-2.5,0.68608746
1992-04-01,1074890,0.001221149,0.001950975,1.966666667,-2.8,1.047094405
1992-07-01,1080662,0.005369852,0.006597558,2.033333333,-2.8,0.921283592
1992-10-01,1086810,0.005689105,0.011089507,2.1,-2.6,1.524317556
1993-01-01,1093765,0.006399463,0.012124975,2,-2.5,1.923469565
1993-04-01,1103723,0.009104332,0.015562058,1.866666667,-2,1.593754401
1993-07-01,1114242,0.009530471,0.018721572,1.633333333,-1.6,1.547573212
1993-10-01,1119052,0.004316836,0.013888448,1.533333333,-1.7,1.69915838
1994-01-01,1135542,0.014735687,0.019116135,1.333333333,-0.9,1.375786164
1994-04-01,1152136,0.014613286,0.02956431,1.166666667,0,1.255087591
1994-07-01,1166865,0.012784081,0.027584184,1.133333333,0.6,1.524037019
1994-10-01,1175379,0.007296474,0.020173834,1.033333333,0.6,1.398421546
1995-01-01,1186304,0.009294874,0.016659168,1.2,0.8,2.016229501
1995-04-01,1186783,0.000403775,0.009702402,1.366666667,0.1,2.595058339
1995-07-01,1188347,0.001317848,0.001722156,1.466666667,-0.5,2.194270071
1995-10-01,1193217,0.00409813,0.005421379,1.5,-0.9,1.877937692
1996-01-01,1194038,0.000688056,0.004789005,1.366666667,-1.6,1.330210928
1996-04-01,1202352,0.006962927,0.007655774,1.433333333,-1.8,1.396754654
1996-07-01,1212740,0.008639733,0.015662818,1.433333333,-1.8,1.355975965
1996-10-01,1222507,0.008053664,0.016762978,1.566666667,-1.9,1.955511394
1997-01-01,1238634,0.013191745,0.02135165,1.6,-1.5,2.101101612
1997-04-01,1252626,0.011296315,0.024637078,1.6,-1.3,1.489260413
1997-07-01,1267450,0.011834338,0.023264338,1.566666667,-1.1,1.597920282
1997-10-01,1279723,0.009683222,0.021632155,1.433333333,-1.2,0.92260964
1998-01-01,1297798,0.01412415,0.02394414,1.533333333,-0.8,0.99195845
1998-04-01,1298491,0.000533981,0.014665674,1.566666667,-1.7,0.843781769
1998-07-01,1310310,0.009102104,0.009640946,1.633333333,-1.8,0.695087077
1998-10-01,1328139,0.013606704,0.022832657,1.733333333,-1.4,0.986923049
1999-01-01,1352229,0.018138162,0.031991666,1.633333333,-0.6,0.83673424
1999-04-01,1363541,0.008365447,0.026655343,1.7,-0.7,1.60061021
1999-07-01,1384876,0.015646761,0.0241431,1.6,-0.1,2.216191376
1999-10-01,1404357,0.014066963,0.029933827,1.533333333,0.4,2.388707926
2000-01-01,1426823,0.015997357,0.030289354,1.5,1.1,2.669168915
2000-04-01,1443782,0.011885847,0.028073346,1.533333333,1.4,2.43442923
2000-07-01,1458465,0.010169818,0.022176542,1.7,1.5,2.594417488
2000-10-01,1460962,0.001712074,0.011899303,1.7,0.8,3.004754743
2001-01-01,1468700,0.00529651,0.007017652,1.833333333,0.5,2.741701476
2001-04-01,1472658,0.0026949,0.008005684,2,-0.1,3.425647332
2001-07-01,1471677,-0.000666142,0.002026963,2,-0.9,2.598006179
2001-10-01,1480637,0.006088292,0.005418094,2.166666667,-1,0.928124596
2002-01-01,1502613,0.01484226,0.021020917,2.2,-0.2,1.333444252
2002-04-01,1511469,0.005893733,0.02082347,2.133333333,-0.2,1.014758797
2002-07-01,1524550,0.008654494,0.014599235,2.1,0.1,1.721743831
2002-10-01,1532914,0.005486209,0.014188184,2.033333333,0.1,3.266575366
2003-01-01,1541396,0.005533252,0.011049818,2.033333333,0.1,3.949027624
2003-04-01,1539123,-0.001474637,0.004050456,1.866666667,-0.5,2.442300127
2003-07-01,1544874,0.003736543,0.002256396,1.9,-0.7,2.090950799
2003-10-01,1555533,0.006899592,0.010661916,1.966666667,-0.5,1.745199859
2004-01-01,1566737,0.007202676,0.014151963,1.866666667,-0.3,0.877519958
2004-04-01,1585347,0.01187819,0.019166421,2.033333333,0.4,2.122870696
2004-07-01,1604061,0.011804356,0.02382276,1.9,1,1.886127359
2004-10-01,1615585,0.007184265,0.019073427,1.966666667,1.2,2.297935778
2005-01-01,1621176,0.003460666,0.010669794,1.9,0.9,2.091967744
2005-04-01,1632938,0.007255227,0.010741001,1.966666667,1.1,1.856202147
2005-07-01,1652719,0.012113748,0.019456863,2,1.7,2.584346697
2005-10-01,1669060,0.009887343,0.022120864,1.9,2.1,2.246532679
2006-01-01,1682596,0.008109954,0.018077483,2,2.2,2.396674725
2006-04-01,1683465,0.000516464,0.008630606,1.9,1.7,2.511964803
2006-07-01,1688166,0.002792455,0.003310361,2,1.4,2.181176943
2006-10-01,1694895,0.003985982,0.006789568,2.133333333,1.2,1.980237854
2007-01-01,1705736,0.006396266,0.010407744,2.1,1.3,2.401793666
2007-04-01,1722263,0.009689073,0.016147313,2.2,1.8,2.725871685
2007-07-01,1729494,0.004198546,0.013928298,2.233333333,1.7,2.192344845
2007-10-01,1731459,0.00113617,0.005339486,2.2,1.2,2.396884411
2008-01-01,1732786,0.000766406,0.001903447,2.333333333,0.8,2.316632885
2008-04-01,1739053,0.003616719,0.004385897,2.5,0.7,2.832733924
2008-07-01,1753314,0.00820044,0.011846818,2.666666667,1.1,3.961903637
2008-10-01,1732984,-0.011595185,-0.00348983,2.766666667,-0.4,2.490595483
2009-01-01,1693824,-0.022596862,-0.033930032,2.766666667,-3,1.234205326
2009-04-01,1675340,-0.010912586,-0.033262858,2.633333333,-4.3,0.05940918
2009-07-01,1682878,0.004499385,-0.006462301,2.3,-4.2,-0.773664523
2009-10-01,1702503,0.01166157,0.016213425,2.133333333,-3.3,0.724261906
2010-01-01,1723041,0.012063415,0.023865663,1.866666667,-2.3,1.538734877
2010-04-01,1732057,0.005232609,0.017359147,1.633333333,-2,1.420908707
2010-07-01,1744332,0.007086949,0.012356642,1.633333333,-1.6,1.155103827
2010-10-01,1763825,0.011175052,0.018341198,1.533333333,-0.9,1.550052982
2011-01-01,1777148,0.00755347,0.018812932,1.666666667,-0.5,1.744420593
2011-04-01,1780610,0.001948065,0.00951625,1.866666667,-0.8,2.485812679
2011-07-01,1805176,0.013796396,0.015771337,1.866666667,0.1,2.826032766
2011-10-01,1819392,0.007875132,0.021780176,1.9,0.4,2.488003166
2012-01-01,1820558,0.000640873,0.008521053,1.933333333,-0.1,2.136600686
2012-04-01,1826496,0.003261637,0.003904601,1.833333333,-0.4,1.394238596
2012-07-01,1828984,0.001362171,0.004628251,1.666666667,-0.8,1.082899897
2012-10-01,1832766,0.002067815,0.003432802,1.666666667,-1.2,0.799924798
2013-01-01,1849206,0.008970049,0.011056412,1.6,-0.9,0.935456882
2013-04-01,1859938,0.005803572,0.014825679,1.566666667,-0.9,0.853066117
2013-07-01,1875096,0.008149734,0.014000604,1.566666667,-0.7,1.20858348
2013-10-01,1894795,0.010505595,0.018740947,1.5,-0.3,1.039776608
2014-01-01,1897892,0.001634478,0.012157244,1.466666667,-0.8,1.417738732
2014-04-01,1915226,0.009133291,0.010782697,1.5,-0.5,2.126500718
2014-07-01,1933594,0.009590513,0.018811397,1.566666667,-0.1,1.89960224
2014-10-01,1946974,0.006919757,0.016576634,1.666666667,0,1.815223905
2015-01-01,1936275,-0.005495194,0.001386537,1.666666667,-1,0.940365569
2015-04-01,1931005,-0.002721721,-0.008201959,1.6,-1.8,0.854060069
2015-07-01,1937835,0.003537018,0.000805671,1.6,-1.9,1.225091236
2015-10-01,1939286,0.000748774,0.00428844,1.7,-2.2,1.276787938
2016-01-01,1949923,0.005485008,0.006237889,1.666666667,-2,1.544957658
2016-04-01,1940335,-0.004917117,0.000540921,1.633333333,-2.9,1.535497213
2016-07-01,1960344,0.010312137,0.005344314,1.466666667,-2.3,1.157632096
2016-10-01,1971351,0.005614831,0.015984869,1.3,-2.1,1.339307722
2017-01-01,1992778,0.010869196,0.016545055,1.266666667,-1.4,1.757130074
2017-04-01,2013165,0.010230442,0.021210835,1.3,-0.8,1.251797247
2017-07-01,2021658,0.00421873,0.014492332,1.466666667,-0.8,1.300296173
2017-10-01,2032130,0.005179907,0.00942049,1.533333333,-0.8,1.7362096
2018-01-01,2045483,0.006570938,0.011784882,1.8,-0.6,1.907274405
2018-04-01,2058719,0.006470843,0.013084301,1.9,-0.5,2.188599169
2018-07-01,2072807,0.00684309,0.013358214,1.9,-0.3,2.542226605
2018-10-01,2078537,0.002764367,0.009626374,1.866666667,-0.5,1.987749225
2019-01-01,2080371,0.000882351,0.003649158,1.8,-0.9,1.668626288
2019-04-01,2102613,0.010691362,0.011583147,1.8,-0.3,2.091209962
2019-07-01,2112119,0.004521041,0.01526074,1.833333333,-0.2,1.902860787
2019-10-01,2114113,0.000944076,0.005469385,1.866666667,-0.5,2.047947663
2020-01-01,2071033,-0.02037734,-0.019452502,1.7,-2.8,1.618243012
2020-04-01,1837420,-0.112800231,-0.130879002,1.433333333,-14,0.073964497
2020-07-01,2004550,0.090959062,-0.032101372,1.366666667,-6.5,0.270330686
2020-10-01,2049436,0.022392058,0.115387881,1.433333333,-4.6,0.636338571
2021-01-01,2077183,0.013538847,0.036234067,1.366666667,-3.5,1.397194516
2021-04-01,2071190,-0.002885157,0.010614628,1.733333333,-3.9,3.157056129
2021-07-01,2094886,0.011440766,0.0085226,4.1,-2.9,3.773239288
