REF_DATE,Unemployment rate-v2062815,Standard error,,Age group,15 years and over
Jan-76,7.1,,,Statistics,Estimate
Feb-76,7,,,Data type,Seasonally adjusted
Mar-76,6.7,,,UOM,Percentage
Apr-76,6.8,,,Sex,Both sexes
May-76,6.9,,,,
Jun-76,6.9,,,,
Jul-76,7.4,,,,
Aug-76,7.1,,,,
Sep-76,7,,,,
Oct-76,7.4,,,,
Nov-76,7.4,,,,
Dec-76,7.5,,,,
Jan-77,7.6,,,,
Feb-77,7.9,,,,
Mar-77,7.8,,,,
Apr-77,7.9,,,,
May-77,7.8,,,,
Jun-77,7.8,,,,
Jul-77,8.1,,,,
Aug-77,8.2,,,,
Sep-77,8.3,,,,
Oct-77,8.4,,,,
Nov-77,8.5,,,,
Dec-77,8.5,,,,
Jan-78,8.3,,,,
Feb-78,8.3,,,,
Mar-78,8.5,,,,
Apr-78,8.4,,,,
May-78,8.6,,,,
Jun-78,8.4,,,,
Jul-78,8.3,,,,
Aug-78,8.4,,,,
Sep-78,8.4,,,,
Oct-78,8.2,,,,
Nov-78,8.3,,,,
Dec-78,8.3,,,,
Jan-79,8.2,,,,
Feb-79,8,,,,
Mar-79,7.9,,,,
Apr-79,8,,,,
May-79,7.6,,,,
Jun-79,7.4,,,,
Jul-79,7.2,,,,
Aug-79,7.1,,,,
Sep-79,7,,,,
Oct-79,7.2,,,,
Nov-79,7.2,,,,
Dec-79,7.2,,,,
Jan-80,7.5,,,,
Feb-80,7.6,,,,
Mar-80,7.6,,,,
Apr-80,7.7,,,,
May-80,7.8,,,,
Jun-80,7.7,,,,
Jul-80,7.6,,,,
Aug-80,7.6,,,,
Sep-80,7.3,,,,
Oct-80,7.3,,,,
Nov-80,7.2,,,,
Dec-80,7.3,,,,
Jan-81,7.4,,,,
Feb-81,7.4,,,,
Mar-81,7.4,,,,
Apr-81,7.1,,,,
May-81,7.2,,,,
Jun-81,7.2,,,,
Jul-81,7.2,,,,
Aug-81,7.1,,,,
Sep-81,8.1,,,,
Oct-81,8.3,,,,
Nov-81,8.3,,,,
Dec-81,8.7,,,,
Jan-82,8.6,,,,
Feb-82,8.9,,,,
Mar-82,9.3,,,,
Apr-82,9.8,,,,
May-82,10.3,,,,
Jun-82,11.1,,,,
Jul-82,11.9,,,,
Aug-82,12,,,,
Sep-82,12.4,,,,
Oct-82,12.9,,,,
Nov-82,12.9,,,,
Dec-82,13.1,,,,
Jan-83,12.7,,,,
Feb-83,12.7,,,,
Mar-83,12.5,,,,
Apr-83,12.4,,,,
May-83,12.4,,,,
Jun-83,12.4,,,,
Jul-83,11.9,,,,
Aug-83,11.7,,,,
Sep-83,11.4,,,,
Oct-83,11.3,,,,
Nov-83,11.3,,,,
Dec-83,11.3,,,,
Jan-84,11.3,,,,
Feb-84,11.3,,,,
Mar-84,11.3,,,,
Apr-84,11.5,,,,
May-84,11.7,,,,
Jun-84,11.3,,,,
Jul-84,11.2,,,,
Aug-84,11.3,,,,
Sep-84,11.8,,,,
Oct-84,11.3,,,,
Nov-84,11.4,,,,
Dec-84,11.1,,,,
Jan-85,10.6,,,,
Feb-85,10.8,,,,
Mar-85,11,,,,
Apr-85,10.8,,,,
May-85,10.6,,,,
Jun-85,10.7,,,,
Jul-85,10.4,,,,
Aug-85,10.3,,,,
Sep-85,10.2,,,,
Oct-85,10.3,,,,
Nov-85,10.3,,,,
Dec-85,10.1,,,,
Jan-86,9.8,,,,
Feb-86,9.9,,,,
Mar-86,9.8,,,,
Apr-86,9.7,,,,
May-86,9.5,,,,
Jun-86,9.6,,,,
Jul-86,9.6,,,,
Aug-86,9.6,,,,
Sep-86,9.5,,,,
Oct-86,9.4,,,,
Nov-86,9.4,,,,
Dec-86,9.5,,,,
Jan-87,9.5,,,,
Feb-87,9.5,,,,
Mar-87,9.4,,,,
Apr-87,9.2,,,,
May-87,8.9,,,,
Jun-87,8.9,,,,
Jul-87,8.7,,,,
Aug-87,8.6,,,,
Sep-87,8.4,,,,
Oct-87,8.3,,,,
Nov-87,8.2,,,,
Dec-87,8,,,,
Jan-88,8.1,,,,
Feb-88,7.8,,,,
Mar-88,7.8,,,,
Apr-88,7.7,,,,
May-88,7.8,,,,
Jun-88,7.6,,,,
Jul-88,7.8,,,,
Aug-88,7.8,,,,
Sep-88,7.8,,,,
Oct-88,7.8,,,,
Nov-88,7.8,,,,
Dec-88,7.5,,,,
Jan-89,7.5,,,,
Feb-89,7.6,,,,
Mar-89,7.5,,,,
Apr-89,7.8,,,,
May-89,7.7,,,,
Jun-89,7.5,,,,
Jul-89,7.5,,,,
Aug-89,7.3,,,,
Sep-89,7.3,,,,
Oct-89,7.2,,,,
Nov-89,7.5,,,,
Dec-89,7.7,,,,
Jan-90,7.9,,,,
Feb-90,7.7,,,,
Mar-90,7.3,,,,
Apr-90,7.6,,,,
May-90,7.8,,,,
Jun-90,7.6,,,,
Jul-90,7.9,,,,
Aug-90,8.1,,,,
Sep-90,8.5,,,,
Oct-90,8.8,,,,
Nov-90,9.1,,,,
Dec-90,9.5,,,,
Jan-91,9.8,,,,
Feb-91,10.2,,,,
Mar-91,10.5,,,,
Apr-91,10.3,,,,
May-91,10.2,,,,
Jun-91,10.5,,,,
Jul-91,10.5,,,,
Aug-91,10.5,,,,
Sep-91,10.3,,,,
Oct-91,10.3,,,,
Nov-91,10.4,,,,
Dec-91,10.3,,,,
Jan-92,10.4,,,,
Feb-92,10.5,,,,
Mar-92,10.9,,,,
Apr-92,10.7,,,,
May-92,10.9,,,,
Jun-92,11.4,,,,
Jul-92,11.3,,,,
Aug-92,11.7,,,,
Sep-92,11.6,,,,
Oct-92,11.4,,,,
Nov-92,12.1,,,,
Dec-92,11.7,,,,
Jan-93,11.2,,,,
Feb-93,11,,,,
Mar-93,11.2,,,,
Apr-93,11.6,,,,
May-93,11.6,,,,
Jun-93,11.7,,,,
Jul-93,11.6,,,,
Aug-93,11.2,,,,
Sep-93,11.5,,,,
Oct-93,11.3,,,,
Nov-93,11.2,,,,
Dec-93,11.4,,,,
Jan-94,11.4,,,,
Feb-94,11.1,,,,
Mar-94,10.6,,,,
Apr-94,10.9,,,,
May-94,10.7,,,,
Jun-94,10.3,,,,
Jul-94,10.1,,,,
Aug-94,10.2,,,,
Sep-94,10.1,,,,
Oct-94,10,,,,
Nov-94,9.7,,,,
Dec-94,9.6,,,,
Jan-95,9.6,,,,
Feb-95,9.6,,,,
Mar-95,9.7,,,,
Apr-95,9.5,,,,
May-95,9.5,,,,
Jun-95,9.5,,,,
Jul-95,9.6,,,,
Aug-95,9.5,,,,
Sep-95,9.2,,,,
Oct-95,9.3,,,,
Nov-95,9.2,,,,
Dec-95,9.4,,,,
Jan-96,9.4,,,,
Feb-96,9.5,,,,
Mar-96,9.6,,,,
Apr-96,9.3,,,,
May-96,9.2,,,,
Jun-96,9.8,,,,
Jul-96,9.7,,,,
Aug-96,9.4,,,,
Sep-96,9.9,,,,
Oct-96,9.9,,,,
Nov-96,9.9,,,,
Dec-96,9.7,,,,
Jan-97,9.5,,,,
Feb-97,9.5,,,,
Mar-97,9.3,,,,
Apr-97,9.4,,,,
May-97,9.4,,,,
Jun-97,9.1,,,,
Jul-97,8.9,,,,
Aug-97,8.9,,,,
Sep-97,8.8,,,,
Oct-97,8.9,,,,
Nov-97,8.9,,,,
Dec-97,8.5,,,,
Jan-98,8.8,,,,
Feb-98,8.6,,,,
Mar-98,8.4,,,,
Apr-98,8.3,,,,
May-98,8.3,,,,
Jun-98,8.4,,,,
Jul-98,8.3,,,,
Aug-98,8.1,,,,
Sep-98,8.2,,,,
Oct-98,8,,,,
Nov-98,8,,,,
Dec-98,8.1,,,,
Jan-99,7.9,,,,
Feb-99,7.9,,,,
Mar-99,7.9,,,,
Apr-99,8.2,,,,
May-99,7.9,,,,
Jun-99,7.6,,,,
Jul-99,7.6,,,,
Aug-99,7.4,,,,
Sep-99,7.5,,,,
Oct-99,7.2,,,,
Nov-99,6.9,,,,
Dec-99,6.8,,,,
Jan-00,6.8,,,,
Feb-00,6.9,,,,
Mar-00,6.9,,,,
Apr-00,6.7,,,,
May-00,6.6,,,,
Jun-00,6.7,,,,
Jul-00,6.8,,,,
Aug-00,7,0.1,,,
Sep-00,6.9,0.1,,,
Oct-00,7,0.1,,,
Nov-00,6.9,0.1,,,
Dec-00,6.8,0.1,,,
01-Jan,6.9,0.1,,,
01-Feb,7,0.1,,,
01-Mar,7.1,0.1,,,
01-Apr,7.1,0.1,,,
01-May,7,0.1,,,
01-Jun,7.2,0.1,,,
01-Jul,7.1,0.1,,,
01-Aug,7.2,0.1,,,
01-Sep,7.2,0.1,,,
01-Oct,7.3,0.1,,,
01-Nov,7.5,0.1,,,
01-Dec,8.1,0.1,,,
02-Jan,8,0.1,,,
02-Feb,8,0.1,,,
02-Mar,7.9,0.1,,,
02-Apr,7.7,0.1,,,
02-May,7.8,0.1,,,
02-Jun,7.6,0.1,,,
02-Jul,7.6,0.1,,,
02-Aug,7.4,0.1,,,
02-Sep,7.5,0.1,,,
02-Oct,7.6,0.1,,,
02-Nov,7.4,0.1,,,
02-Dec,7.5,0.1,,,
03-Jan,7.5,0.1,,,
03-Feb,7.5,0.1,,,
03-Mar,7.4,0.1,,,
03-Apr,7.6,0.1,,,
03-May,7.8,0.1,,,
03-Jun,7.6,0.1,,,
03-Jul,7.7,0.1,,,
03-Aug,7.8,0.1,,,
03-Sep,7.8,0.1,,,
03-Oct,7.6,0.1,,,
03-Nov,7.4,0.1,,,
03-Dec,7.3,0.1,,,
04-Jan,7.3,0.1,,,
04-Feb,7.3,0.1,,,
04-Mar,7.3,0.1,,,
04-Apr,7.2,0.1,,,
04-May,7.1,0.1,,,
04-Jun,7.2,0.1,,,
04-Jul,7.1,0.1,,,
04-Aug,7,0.1,,,
04-Sep,6.9,0.1,,,
04-Oct,7.1,0.1,,,
04-Nov,7.2,0.1,,,
04-Dec,7.1,0.1,,,
05-Jan,7,0.1,,,
05-Feb,7,0.1,,,
05-Mar,6.9,0.1,,,
05-Apr,6.7,0.1,,,
05-May,7,0.1,,,
05-Jun,6.8,0.1,,,
05-Jul,6.7,0.1,,,
05-Aug,6.7,0.1,,,
05-Sep,6.7,0.1,,,
05-Oct,6.7,0.1,,,
05-Nov,6.4,0.1,,,
05-Dec,6.6,0.1,,,
06-Jan,6.6,0.1,,,
06-Feb,6.4,0.1,,,
06-Mar,6.4,0.1,,,
06-Apr,6.3,0.1,,,
06-May,6.1,0.1,,,
06-Jun,6.1,0.1,,,
06-Jul,6.4,0.1,,,
06-Aug,6.4,0.1,,,
06-Sep,6.4,0.1,,,
06-Oct,6.2,0.1,,,
06-Nov,6.4,0.1,,,
06-Dec,6.2,0.1,,,
07-Jan,6.3,0.1,,,
07-Feb,6.2,0.1,,,
07-Mar,6.2,0.1,,,
07-Apr,6.2,0.1,,,
07-May,6,0.1,,,
07-Jun,6.1,0.1,,,
07-Jul,6,0.1,,,
07-Aug,5.9,0.1,,,
07-Sep,5.9,0.1,,,
07-Oct,5.9,0.1,,,
07-Nov,6.1,0.1,,,
07-Dec,6.1,0.1,,,
08-Jan,5.9,0.1,,,
08-Feb,6,0.1,,,
08-Mar,6.2,0.1,,,
08-Apr,6.1,0.1,,,
08-May,6.1,0.1,,,
08-Jun,6.1,0.1,,,
08-Jul,6.1,0.1,,,
08-Aug,6.1,0.1,,,
08-Sep,6.1,0.1,,,
08-Oct,6.2,0.1,,,
08-Nov,6.6,0.1,,,
08-Dec,6.9,0.1,,,
09-Jan,7.4,0.1,,,
09-Feb,8,0.1,,,
09-Mar,8.2,0.1,,,
09-Apr,8.3,0.1,,,
09-May,8.7,0.1,,,
09-Jun,8.7,0.1,,,
09-Jul,8.7,0.1,,,
09-Aug,8.6,0.1,,,
09-Sep,8.4,0.1,,,
09-Oct,8.5,0.1,,,
09-Nov,8.5,0.1,,,
09-Dec,8.5,0.1,,,
10-Jan,8.3,0.1,,,
10-Feb,8.3,0.1,,,
10-Mar,8.3,0.1,,,
10-Apr,8.2,0.1,,,
10-May,8.1,0.1,,,
10-Jun,8,0.1,,,
10-Jul,8,0.1,,,
10-Aug,8.1,0.1,,,
10-Sep,8.2,0.1,,,
10-Oct,8,0.1,,,
10-Nov,7.7,0.1,,,
10-Dec,7.7,0.1,,,
11-Jan,7.8,0.1,,,
11-Feb,7.7,0.1,,,
11-Mar,7.7,0.1,,,
11-Apr,7.7,0.1,,,
11-May,7.6,0.1,,,
11-Jun,7.6,0.1,,,
11-Jul,7.3,0.1,,,
11-Aug,7.3,0.1,,,
11-Sep,7.4,0.1,,,
11-Oct,7.4,0.1,,,
11-Nov,7.6,0.1,,,
11-Dec,7.5,0.1,,,
12-Jan,7.7,0.1,,,
12-Feb,7.5,0.1,,,
12-Mar,7.3,0.1,,,
12-Apr,7.3,0.1,,,
12-May,7.4,0.1,,,
12-Jun,7.2,0.1,,,
12-Jul,7.3,0.1,,,
12-Aug,7.3,0.1,,,
12-Sep,7.3,0.1,,,
12-Oct,7.5,0.1,,,
12-Nov,7.4,0.1,,,
12-Dec,7.3,0.1,,,
13-Jan,7.1,0.1,,,
13-Feb,7.1,0.1,,,
13-Mar,7.3,0.1,,,
13-Apr,7.2,0.1,,,
13-May,7,0.1,,,
13-Jun,7.2,0.1,,,
13-Jul,7.1,0.1,,,
13-Aug,7.1,0.1,,,
13-Sep,7.1,0.1,,,
13-Oct,7.1,0.1,,,
13-Nov,7,0.1,,,
13-Dec,7.3,0.1,,,
14-Jan,7.1,0.1,,,
14-Feb,7.1,0.1,,,
14-Mar,7,0.1,,,
14-Apr,7.1,0.1,,,
14-May,7.1,0.1,,,
14-Jun,7.1,0.1,,,
14-Jul,7.1,0.1,,,
14-Aug,7,0.1,,,
14-Sep,6.9,0.1,,,
14-Oct,6.7,0.1,,,
14-Nov,6.7,0.1,,,
14-Dec,6.7,0.1,,,
15-Jan,6.7,0.1,,,
15-Feb,6.8,0.1,,,
15-Mar,6.9,0.1,,,
15-Apr,6.9,0.1,,,
15-May,6.9,0.1,,,
15-Jun,6.9,0.1,,,
15-Jul,6.9,0.1,,,
15-Aug,7,0.1,,,
15-Sep,7.1,0.1,,,
15-Oct,6.9,0.1,,,
15-Nov,7.1,0.1,,,
15-Dec,7.2,0.1,,,
16-Jan,7.2,0.1,,,
16-Feb,7.3,0.1,,,
16-Mar,7.1,0.1,,,
16-Apr,7.2,0.1,,,
16-May,7,0.1,,,
16-Jun,6.9,0.1,,,
16-Jul,7,0.1,,,
16-Aug,7,0.1,,,
16-Sep,7,0.1,,,
16-Oct,7,0.1,,,
16-Nov,6.9,0.1,,,
16-Dec,7,0.1,,,
17-Jan,6.8,0.1,,,
